# Μορφή: H|sortkey|ετικέτα|τίτλος|περιγραφή
# sortkey: μεγαλύτερο = νεότερο (1000 π.Χ. = -999)
H|-1999|~2000 π.Χ.|Νεολιθική Ανατολία και Αιγαίο|Χωριά εξάγουν κεραμική και υφάσματα· πρώιμη μεταλλουργία χαλκού.
H|-2099|~2100 π.Χ.|Νεολιθική Βαλκανική|Tell και οχυρά χωριά· η γεωργία συνδέει Δούναβη με Αιγαίο.
H|-2199|~2200 π.Χ.|8,2 ka κλιματική απότομη αλλαγή|Ψύξη και ξηρασία στην Εγγύς Ανατολή· μετακινήσεις που επηρεάζουν έμμεσα τη Μεσόγειο.
H|-2299|~2300 π.Χ.|Νεολιθική Ιταλία|Παράκτιοι οικισμοί και κεραμική Impressed Ware· δίκτυα Αδριατικής.
H|-2399|~2400 π.Χ.|Νεολιθική Βρετανία|Εισαγωγή γεωργίας· ναυτιλία στη Μάγχη ενώνει πληθυσμούς.
H|-2499|~2500 π.Χ.|Τσαντάλ Χόϊούκ|Μεγάλο νεολιθικό «αστικό» χωριό Μικράς Ασίας με τοιχογραφίες.
H|-2599|~2600 π.Χ.|Ούρουκ και αστικοποίηση|Η νότια Μεσοποταμία εντατικοποιεί παραγωγή και διοίκηση· τροχός και πρόωρη γραφή.
H|-2699|~2700 π.Χ.|Νεολιθική Ινδία|Κοινότητες Ινδού και Γάγγη· επαφές προς το Ιράν.
H|-2799|~2800 π.Χ.|Νατούφιαν Λεβάντα|Ημι-επιτόπια διαμονή και ένταση συλλογής σπόρων· προετοιμασία πλήρους γεωργίας.
H|-2899|~2900 π.Χ.|Μεσολιθική Ελλάδα|Μικρολιθικά και θαλάσσιοι πόροι· το Αιγαίο ως διάδρομος μετά την άνοδο της στάθμης.
H|-2999|~3000 π.Χ.|Άνοδος στάθμης θάλασσας|Κατακλυσμοί παράκτιων πεδιάδων· υποβρύχια αρχαιολογία αποκαλύπτει θέσεις.
H|-3099|~3100 π.Χ.|Μαγδαλήνιος πολιτισμός|Υστεροπαλαιολιθική τέχνη σπηλαίων στη δυτική Ευρώπη· λεπτομερής λιθοτεχνία.
H|-3199|~3200 π.Χ.|Σολύτρειος|Λεπτές ακίδες και κυνηγετικοί σταθμοί· διασπορά τεχνογνωσίας.
H|-3299|~3300 π.Χ.|Γκραβέττιος|Προσαρμογή σε κρύες στέπες της τελευταίας γλακιακής μέγιστης.
H|-11999|~12 χιλ. π.Χ.|Κλοβίς και πρώιμοι πληθυσμοί Β. Αμερικής|Χαρακτηριστική τεχνοτυπία και επέκταση· οι χρονολογίες εισόδου συζητούνται.
H|-12999|~13 χιλ. π.Χ.|Νεότερη ξηρασία και μετα-παγετωνική επανένωση|Κλιματικές αλλαγές και προσαρμογές κυνηγών-συλλεκτών στην Ευρώπη και τη Μέση Ανατολή.
H|-14999|~15 χιλ. π.Χ.|Λάσκο και σπηλαιοζωγραφική ακμή|Τοιχογραφίες ζώων στη νοτιοδυτική Ευρώπη· μετάδοση τεχνικών και συμβολισμός.
H|-17999|~18 χιλ. π.Χ.|Φράγχthi: άνω παλαιολιθική|Σύγχρονοι άνθρωποι στο Αιγαίο με θαλάσσια διατροφή και λεπτοδουλεμένη λιθοτεχνία.
H|-21999|~22 χιλ. π.Χ.|Μέση Ανατολή: πρώιμη τέχνη και συμβολισμό|Αρχαιότερα ίχνη αφηρημένης τέχνης και οργάνωσης χώρου σε σπήλαια.
H|-25999|~26 χιλ. π.Χ.|Γκραβέττιος: διασπορά|Η τεχνοτυπία εξαπλώνεται σε ευρύ φάσμα κλιμάτων της Ευρασίας.
H|-29999|~30 χιλ. π.Χ.|Λεβαλουά και προετοιμασμένος πυρήνας|Γνωστική πρόβλεψη στη λιθοτεχνία· συνδέεται με νεάντερταλ και αρχικούς σύγχρονους.
H|-34999|~35 χιλ. π.Χ.|Αυστραλία: πρώιμη εξάπλωση|Τεχνοτυπίες και διαχείριση πυρκαγιών· χρονολογίες αναθεωρούνται με νέες μεθόδους.
H|-39999|~40 χιλ. π.Χ.|Ευρώπη: συνύπαρξη νεάντερταλ και σύγχρονων|Επικάλυψη χρονολογιών και γονιδιακές διασταυρώσεις που αφήνουν ίχνη στο σημερινό γονιδίωμα.
H|-44999|~45 χιλ. π.Χ.|Νεάντερταλ: ταφές και χρωστικές|Συμβολική συμπεριφορά και προσαρμογή σε κρύα κλίματα.
H|-49999|~50 χιλ. π.Χ.|Ντενίσοβα: άλλη ανθρώπινη γραμμή|Γονιδιωματικά δεδομένα από τη Σιβηρία· συνεισφορά σε πληθυσμούς Ασίας και Ωκεανίας.
H|-64999|~65 χιλ. π.Χ.|Πρώιμη εξάπλωση σύγχρονων ανθρώπων στην Αυστραλία|Ναυσιπλοΐα και προσαρμογή σε ποικίλα οικοσυστήματα.
H|-74999|~75 χιλ. π.Χ.|Έξοδος από την Αφρική (αρχαιολογικά μοντέλα)|Εμφάνιση σύγχρονων ανθρώπων στη Μέση Ανατολή και πέραν.
H|-94999|~95 χιλ. π.Χ.|Μισλίγια (Ισραήλ)|Πρώιμα Homo sapiens εκτός Αφρικής (~177–194 χιλ. έτη)· η Λεβάντα ως διάδρομος.
H|-119999|~120 χιλ. π.Χ.|Νεάντερταλ και σύγχρονοι στην Αφρική|Πολυμορφία αρχαίων sapiens και συνύπαρξη γραμμών στην ήπειρο.
H|-159999|~160 χιλ. π.Χ.|Φλόρης: Homo floresiensis|Μικρόσωμο είδος· νησιωτική νανοποίηση στην Ινδονησία.
H|-199999|~200 χιλ. π.Χ.|Νεάντερταλ στην Ευρασία|Ευρύ φάσμα οικοτόπων από τη Δυτική Ευρώπη ως την Αλτάι.
H|-249999|~250 χιλ. π.Χ.|Χόμο ναλέντι|Ταφικές πρακτικές στη Νότια Αφρική με πολύπλοκη συμπεριφορά.
H|-299999|~300 χιλ. π.Χ.|Τζέμπελ Ιρχούντ|Αρχαιότερα ανατομικά sapiens στο Μαρόκο· διεύρυνση της εικόνας για την αρχαία μορφολογία.
H|-349999|~350 χιλ. π.Χ.|Απίδιμα (συζητήσιμο)|Κρανιακό από τη Μάνη· αν επιβεβαιωθεί πριν τα 210 χιλ. έτη, αλλάζει την εικόνα στο Αιγαίο.
H|-399999|~400 χιλ. π.Χ.|Χόμο χάιντελμπεργκensis|Κοινός πρόγονος σε πολλά μοντέλα sapiens–νεάντερταλ· προετοιμασία λίθου.
H|-449999|~450 χιλ. π.Χ.|Ντμανίσι (Γεωργία)|Αρχαιότερα hominin εκτός Αφρικής με χαρακτηριστικά ερέκτους.
H|-499999|~500 χιλ. π.Χ.|Χόμο ερέκτους στην Ασία|Μακρά παρουσία και εξέλιξη εργαλείων διπλής όψης.
H|-599999|~600 χιλ. π.Χ.|Χόμο αντεσέσορ|Γέφυρα προς νεάντερταλ· η Ευρώπη ως θέατρο διακλαδώσεων.
H|-699999|~700 χιλ. π.Χ.|Πετράλωνα (Χαλκιδική)|Κρανίο με αβέβαιη χρονολόγηση· σημαντικό για την ελληνική προϊστορία.
H|-1079|~1080 π.Χ.|Μεσοελλαδική φάση|Οικισμοί της ηπειρωτικής Ελλάδας πριν την πλήρη μυκηναϊκή κυριαρχία.
H|-1179|~1180 π.Χ.|Αργολίδα και ναυτικά δίκτυα|Λιμάνια και μεταλλουργία συνδέουν ηπειρωτική Ελλάδα με νησιά.
H|-1279|~1280 π.Χ.|Κρήτη μετά τις καταστροφές|Προσαρμογή μινωικών κέντρων σε νέα πολιτικά δεδομένα.
H|-1379|~1380 π.Χ.|Κυκλάδες: εμπόριο μετάλλου|Ενίσχυση δικτύων χαλκού και οψιανού.
H|-1479|~1480 π.Χ.|Θήρα: αστικό κέντρο πριν την έκρηξη|Ακρωτήρι με τοιχογραφίες και υδραυλικά.
H|-1579|~1580 π.Χ.|Κνωσός: παλαιό ανάκτορο|Πίθοι αποθήκευσης και συγκέντρωση ελαιολάδου.
H|-1679|~1680 π.Χ.|Κυκλάδες: πρώιμη ναυτιλία|Σταθμοί μεταξύ ηπείρου και Μικράς Ασίας.
H|-1779|~1780 π.Χ.|Κρήτη: νεολιθική–χαλκού|Ενσωμάτωση σε αιγαιακά δίκτυα μετάλλου.
H|-1879|~1880 π.Χ.|Θεοπέτρα (Θεσσαλία)|Σπήλαιο με μακρά αλληλουχία από παλαιολιθικό έως νεολιθικό.
H|-1979|~1980 π.Χ.|Κύπρος: γέφυρα Ανατολής–Αιγαίου|Νεολιθική εξάπλωση και εισαγωγές.
H|-2079|~2080 π.Χ.|Κουκουτενί|Ζωγραφισμένη κεραμική και δίκτυα ανατολικής Ευρώπης.
H|-2179|~2180 π.Χ.|Φράγχthi: μεσο-νεολιθική|Καλλιέργειες και κτηνοτροφία ενισχύονται.
H|-2279|~2280 π.Χ.|Μεγαλιθικά (πρώιμα)|Συγκέντρωση εργασίας σε μνημεία δυτικής Ευρώπης.
H|-2379|~2380 π.Χ.|Νεολιτική Μεσοποταμία|Τείχη, ιερά και προετοιμασία γραφής.
H|-2479|~2480 π.Χ.|Νεολιτική Αίγυπτος (πρώιμη)|Άρδευση και συγκεντρώσεις εξουσίας στον Νείλο.
H|-2579|~2580 π.Χ.|Νεολιτική Κίνα|Κεχρί και κεραμική στην κοιλάδα του Κίτρινου Ποταμού.
H|-2679|~2680 π.Χ.|Μεσολιθική Ευρώπη|Μικρολιθικά μετά την τήξη παγετώνων.
H|-2779|~2780 π.Χ.|Λεβάντα: προ-νατούφιαν|Μετάβαση από κυνηγούς σε πιο επιτόπια χωριά.
H|-2879|~2880 π.Χ.|Μεσολιθική αλιεία Αιγαίου|Εκμετάλλευση θαλάσσιων πόρων και μικρολιθικά.
H|-2979|~2980 π.Χ.|Νεότερη παλαιολιθική Ευρώπη|Κινητικότητα και προσαρμογή μετά τη γλακιακή μέγιστη.
H|-33999|~34 χιλ. π.Χ.|Χέτερος και προσωπικό στολισμός|Όστρακα, δόντια και χάντρες ως σύμβολα ταυτότητας.
H|-41999|~42 χιλ. π.Χ.|Νεάντερταλ: υψηλή τεχνολογία|Πίσσα, σφαιρίδια και σύνθετα εργαλεία.
H|-54999|~55 χιλ. π.Χ.|Νέα Γουινέα: ορεινή εξάπλωση|Πρώιμη παρουσία σε υψηλά οικοσυστήματα.
H|-69999|~70 χιλ. π.Χ.|Νότια Αμερική: Μοντε Βερντέ|Πολύ πρώιμη ανθρώπινη παρουσία· συζητούμενες χρονολογίες.
H|-84999|~85 χιλ. π.Χ.|Κοινότητες στη Νότια Αφρική|Πυκνότερη κοινωνική οργάνωση και συμβολική συμπεριφορά.
H|-179999|~180 χιλ. π.Χ.|Ρόδος / ευρύτερο Αιγαίο: παλαιολιθικά στρώματα|Μακρά ανθρώπινη παρουσία σε νησιωτικό περιβάλλον (αρχαιολογικές συνθήκες).
H|-219999|~220 χιλ. π.Χ.|Χόμο ρόντονιensis|Ποικιλία γραμμών πριν τον σύγχρονο άνθρωπο.
H|-549999|~550 χιλ. π.Χ.|Χόμο ερέκτους: φωτιά και κοινωνία|Μαγειρική και κοινωνική διανομή τροφής υποστηρίζουν ενεργειακά απαιτητικό εγκέφαλο.
H|-799999|~800 χιλ. π.Χ.|Αχούλεια τεχνολογία|Μεγάλα εργαλεία και μεταφορά πληροφορίας μεταξύ γενεών.
H|-1399999|~1,4 Ma|Χόμο ερέκτους: διασπορά|Εξάπλωση στην Ευρασία με απλή και διπλή όψη λίθου.
H|-1899999|~1,9 Ma|Χόμο χάμπιλις και Oldowan|Συστηματική κατεργασία λίθου στην Ανατολική Αφρική.
H|-2399999|~2,4 Ma|Πρώιμα Homo|Αρχή γραμμής που οδηγεί σε εμάς· λίθος γίνεται συστηματικότερος.
H|-2799999|~2,8 Ma|Λομεκβί: συζητούμενη αρχαιότερη λιθοτεχνία|Κατεργασμένος λίθος ~3,3 Ma· αυστηρή επιβεβαίωση.
H|-3199999|~3,2 Ma|Lucy: Australopithecus afarensis|Διποδισμός με δυνατότητα αναρρίχησης· Αιθιοπία.
H|-4399999|~4,4 Ma|Ardipithecus ramidus|Δασικό περιβάλλον, μερικός διποδισμός.
H|-5999999|~6 Ma|Orrorin και Sahelanthropus|Όρθια στάση και πολύ αρχαία hominin· η ταξινόμηση συζητείται.
H|-6999999|~7 Ma|Κοινός πρόγονος ανθρώπου–πιθήκων (εκτίμηση)|Μοριακά ρολόγια τοποθετούν τη διακλάδωση σε βαθύ γεωλογικό χρόνο.
H|-19999999|~20 Ma|Πρώιμα ανθρωποειδή|Προκόνσουλ και συγγενικά είδη στην Ανατολική Αφρική.
H|-65999999|~66 Ma|Μετά την εξαφάνιση δεινοσαύρων|Άνθιση πλακουντοφόρων και πρωτευόντων· οικολογικοί χώροι για μελλοντικές κλάδους.
H|-1014|~1015 π.Χ.|Μυκηναϊκά τείχη και οχύρωση|Η οργάνωση αμυντικών έργων στην Αργολίδα και αλλού αντανακλά πόλεμο και έλεγχο δρόμων.
H|-1034|~1035 π.Χ.|Μεσοελλαδική κεραμική|Τυπολογίες που συνδέουν την ηπειρωτική Ελλάδα με τα δίκτυα του Αιγαίου.
H|-1064|~1065 π.Χ.|Ιωλκός και Θεσσαλία|Λιμάνι και ενδοχώρα στη μετάβαση προς τον ύστερο χαλκό.
H|-1094|~1095 π.Χ.|Κρήτη: οικονομία πριν την κρίση|Αποθήκευση και εργαστήρια σε μινωικά κέντρα.
H|-1134|~1135 π.Χ.|Κύπρος και χαλκός|Το νησί ως κόμβος μεταλλουργίας και εμπορίου.
H|-1164|~1165 π.Χ.|Ρόδος και νοτιοανατολικό Αιγαίο|Ενδιάμεσες θέσεις ανάμεσα σε Κρήτη, Μικρά Ασία και Λεβάντα.
H|-1194|~1195 π.Χ.|Μικρά Ασία: Αρζάβα και Χετταίοι|Συνοριακές ζώνες και εμπόριο με το Αιγαίο.
H|-1214|~1215 π.Χ.|Κυκλάδες: Σύρος και Κέρος|Ιερά και συγκεντρώσεις που δείχνουν πανεγαιακή σημασία.
H|-1239|~1240 π.Χ.|Λέσβος και βορειοανατολικό Αιγαίο|Νησιωτικές διαδρομές προς την Ανατολία.
H|-1264|~1265 π.Χ.|Κρήτη: Linear A|Η μινωική γραφή ως σύστημα διοίκησης πριν την ελληνική Linear B.
H|-1294|~1295 π.Χ.|Κρήτη: ιερά κορυφής|Λατρευτικές πρακτικές σε υψώματα και συμβολική κυριαρχία τοπίου.
H|-1314|~1315 π.Χ.|Κέρος: ειδώλια|Καταθέσεις μαρμάρινων ειδωλίων ως τελετουργική πράξη.
H|-1339|~1340 π.Χ.|Νάξος και εξορύξεις|Οψιανός και άλλες πρώτες ύλες προς το Αιγαίο.
H|-1364|~1365 π.Χ.|Κρήτη: ναυτική εικονογραφία|Πλοία και λιμάνια στις τοιχογραφίες.
H|-1394|~1395 π.Χ.|Μέση Ανατολή: εμπόριο ρητινών|Υλικά για θρησκευτική και τεχνική χρήση.
H|-1414|~1415 π.Χ.|Κρήτη: παλάτι Μαλίων|Ανάκτορο και αποθηκευτικός οργανισμός στην ανατολική Κρήτη.
H|-1439|~1440 π.Χ.|Κυκλάδες: Φυλακωπή|Οικισμός με ισχυρές οχυρώσεις και κεραμική.
H|-1464|~1465 π.Χ.|Θήρα: προϊστορική ναυτιλία|Επαφές με Κρήτη και Κυκλάδες πριν την πλήρη καταστροφή.
H|-1494|~1495 π.Χ.|Αίγυπτος: εμπόριο με Λεβάντα|Δίκτυα που συνδέουν τη Μεσόγειο.
H|-1514|~1515 π.Χ.|Κρήτη: Ζάκρος|Ανατολικό ανάκτορο-λιμάνι.
H|-1539|~1540 π.Χ.|Κρήτη: Φαιστός δίσκος (εύρημα)|Μοναδικό αντικείμενο με σπειροειδή γραφή· η ερμηνεία παραμένει ανοιχτή.
H|-1564|~1565 π.Χ.|Κυκλάδες: πρώιμη μεταλλουργία|Τεχνικές χύτευσης και εργαστήρια.
H|-1594|~1595 π.Χ.|Κρήτη: Αγία Τριάδα|Μικρό «ανάκτορο» και οικονομικές δραστηριότητες.
H|-1614|~1615 π.Χ.|Κρήτη: Γούρνια|Οργανωμένος οικισμός με δρόμους.
H|-1639|~1640 π.Χ.|Κρήτη: Αρχάνες|Ιερό και ανακτορικό περιβάλλον κοντά στην Κνωσό.
H|-1664|~1665 π.Χ.|Κυκλάδες: Κέα|Οικισμοί και μεταλλεία.
H|-1694|~1695 π.Χ.|Κρήτη: Τύλισσος|Προανακτορικό κέντρο στη δυτική Κρήτη.
H|-1714|~1715 π.Χ.|Μήλος και οψιανός|Εξόρυξη και διακίνηση.
H|-1739|~1740 π.Χ.|Κρήτη: Μύρτος|Προανακτορικός οικισμός με αποθήκες.
H|-1764|~1765 π.Χ.|Κυκλάδες: Νάξος (πρώιμα)|Νεολιθική–χαλκού μετάβαση.
H|-1794|~1795 π.Χ.|Κρήτη: νεολιθική ακμή|Κοινότητες πριν τα μεγάλα ανάκτορα.
H|-1814|~1815 π.Χ.|Λέρνα (Αργολίδα)|Οχυρός οικισμός και «Οίκος των Πλακιδίων».
H|-1839|~1840 π.Χ.|Μάνη: σπήλαια|Μακρά ανθρώπινη χρήση του τοπίου.
H|-1864|~1865 π.Χ.|Θράκη και βορειοανατολικά|Δίκτυα με τον Εύξεινο και τα Βαλκάνια.
H|-1894|~1895 π.Χ.|Μακεδονία: νεολιθικά|Οικισμοί και κεραμική.
H|-1914|~1915 π.Χ.|Ήπειρος: νεολιθική|Παράκτιες και ενδοχώρα κοινότητες.
H|-1939|~1940 π.Χ.|Πελοπόννησος: νεολιθικά χωριά|Γεωργία και κτηνοτροφία.
H|-1964|~1965 π.Χ.|Κρήτη: Κνωσός νεολιθική|Πρώιμες φάσεις πριν το ανάκτορο.
H|-1994|~1995 π.Χ.|Αιγαίο: νεολιθική ναυτιλία|Διασπορά ιδεών και ειδών μεταξύ νησιών.
H|-2024|~2025 π.Χ.|Μεσοποταμία: Ερίδου|Πρώιμη αστική κλίμακα.
H|-2044|~2045 π.Χ.|Λεβάντα: Ζερίχο|Νεολιθική μακρά συνέχεια.
H|-2074|~2075 π.Χ.|Μερόε και Νουβία (πρώιμα)|Κοινότητες κατά μήκος του Νείλου.
H|-2094|~2095 π.Χ.|Ιράν: νεολιθική|Χωριά και κεραμική πριν την εποχή του χαλκού.
H|-2124|~2125 π.Χ.|Κεντρική Ασία: νεολιθική|Κοινότητες στις στέπες.
H|-2144|~2145 π.Χ.|Κίνα: Ντόουσι|Κεραμική και κεχρί.
H|-2174|~2175 π.Χ.|Μεξικό: πρώιμη γεωργία|Καλαμπόκι και κολοκύθα σε τοπικές ποικιλίες.
H|-2194|~2195 π.Χ.|Νότια Αμερική: νεολιθική|Κοινότητες Άνδεων και παράκτια.
H|-2224|~2225 π.Χ.|Βόρεια Αφρική: Σαχάρα (υγρότερη φάση)|Λίμνες και κυνηγοί-συλλέκτες.
H|-2244|~2245 π.Χ.|Υποσαχάρια Αφρική: σίδηρος (πρωτόγονος)|Πρώιμες τεχνικές σε τοπική κλίμακα.
H|-2274|~2275 π.Χ.|Νότια Ασία: Μεχργκάρ|Νεολιθική κοιλάδα Ινδού.
H|-2294|~2295 π.Χ.|Βαλτική: νεολιθική|Κοινότητες και κεραμική.
H|-2324|~2325 π.Χ.|Σκανδιναβία: μεσολιθική–νεολιθική|Μετάβαση σε πιο επιτόπια χρήση πόρων.
H|-2344|~2345 π.Χ.|Ιβηρία: νεολιθική|Μεγάλοι οικισμοί και μεγαλιθικά.
H|-2374|~2375 π.Χ.|Γαλλία: νεολιθική|Χωριά και μνημεία.
H|-2394|~2395 π.Χ.|Ιρλανδία: νεολιθική|Εισαγωγή γεωργίας.
H|-2424|~2425 π.Χ.|Νεογκράντζ|Μεγαλιθικός τάφος Ιρλανδίας.
H|-2444|~2445 π.Χ.|Στόουνχετζ (πρώιμα στάδια)|Κυκλικές κατασκευές και ταφές.
H|-2474|~2475 π.Χ.|Καρνάκ (Βρετάνη)|Μεγαλιθικά συγκροτήματα.
H|-2494|~2495 π.Χ.|Μάλτα: ναοί|Νεολιθικά ιερά.
H|-2524|~2525 π.Χ.|Βουλγαρία: Βάρνα|Χρυσός θησαυρός της νεολιθικής ελίτ.
H|-2544|~2545 π.Χ.|Ρουμανία: Κουκουτενί|Ζωγραφισμένη κεραμική.
H|-2574|~2575 π.Χ.|Ελάμ: Σούσα|Πρώιμη αστική κλίμακα στο Ιράν.
H|-2594|~2595 π.Χ.|Ιορδανία: Αϊν Γκαζάλ|Μεγάλα αγάλματα από γύψο.
H|-2624|~2625 π.Χ.|Κίνα: Γιανγκσάο (φάση)|Κεραμική με σύμβολα.
H|-2644|~2645 π.Χ.|Περού: Καράλ|Νεολιθική αστική κλίμακα στα Άνδη.
H|-2674|~2675 π.Χ.|Μεσοαμερική: πρώιμη γεωργία|Καλαμπόκι και κοινότητες.
H|-2694|~2695 π.Χ.|Βόρεια Αμερική: πρώιμοι αγρότες|Κολοκύθα και άλλα είδη.
H|-2724|~2725 π.Χ.|Σιβηρία: μεσολιθική|Κυνηγοί σε τάιγκα.
H|-2744|~2745 π.Χ.|Ιαπωνία: Τζόμον|Κεραμική κυνηγών-συλλεκτών.
H|-2774|~2775 π.Χ.|Νοτιοανατολική Ασία: σπήλαια|Άνθρωποι και τροπικά δάση.
H|-2794|~2795 π.Χ.|Μεσολιθική Ν. Αμερική|Κυνηγοί μετά την εποχή των παγετώνων.
H|-2824|~2825 π.Χ.|Μεσολιθική Β. Ευρώπης|Κοινότητες σε δάση και λίμνες.
H|-2844|~2845 π.Χ.|Μεσολιθική Λεβάντα (μετά Νατούφιαν)|Προσαρμογή σε ξηρότερο κλίμα.
H|-2874|~2875 π.Χ.|Μικρολιθικά στο Αιγαίο|Τεχνολογία και κινητικότητα.
H|-2894|~2895 π.Χ.|Κυκλάδες: Σάλιγκος|Νεολιθική θέση με ενδείξεις ναυτιλίας.
H|-2924|~2925 π.Χ.|Νεολιθική Κρήτη: Κνωσός (πρώιμα)|Προϊστορικές φάσεις πριν το ανάκτορο.
H|-2944|~2945 π.Χ.|Νεολιθική Ρόδος|Επαφές με Μικρά Ασία.
H|-2974|~2975 π.Χ.|Νεολιθική Κως|Παράκτιοι οικισμοί.
H|-2994|~2995 π.Χ.|Νεολιθική Σάμος|Γεφύρωση Ανατολίας και Αιγαίου.
H|-3474|~3475 π.Χ.|Άνω παλαιολιθική Ζαγρος|Κοινότητες και κυνήγι.
H|-3494|~3495 π.Χ.|Μέση Ανατολή: Κεμπαράν|Κυνηγοί-συλλέκτες με πλούσια ταφικά ευρήματα.
H|-3524|~3525 π.Χ.|Νεάντερταλ Δυτικής Ευρώπης|Προσαρμογή σε δάση και στέπες.
H|-3544|~3545 π.Χ.|Νεάντερταλ Μέσης Ανατολίας|Συνύπαρξη και ανταλλαγές.
H|-3574|~3575 π.Χ.|Νεάντερταλ Καύκασου|Ορεινοί οικοτόποι.
H|-3594|~3595 π.Χ.|Αρχαίοι sapiens Νότιας Αφρικής|Σπήλαια Μπλόμπος και συμβολική συμπεριφορά.
H|-3624|~3625 π.Χ.|Αρχαίοι sapiens Ανατολικής Αφρικής|Ποικιλία μορφολογίας.
H|-3644|~3645 π.Χ.|Αρχαίοι sapiens Κεντρικής Αφρικής|Δάση και σαβάνες.
H|-3674|~3675 π.Χ.|Αρχαίοι sapiens Δυτικής Αφρικής|Ακτή και ενδοχώρα.
